iter	Passed	Remaining
659	14102	7264
660	14122	7242
661	14142	7220
662	14162	7198
663	14181	7176
664	14200	7153
665	14222	7132
666	14241	7109
667	14270	7092
668	14292	7071
669	14315	7050
670	14339	7030
671	14360	7009
672	14379	6986
673	14399	6964
674	14418	6942
675	14438	6920
676	14457	6897
677	14477	6875
678	14499	6854
679	14519	6832
680	14538	6810
681	14561	6789
682	14581	6767
683	14602	6746
684	14626	6726
685	14646	6704
686	14669	6683
687	14690	6662
688	14713	6641
689	14733	6619
690	14752	6596
691	14772	6574
692	14792	6553
693	14812	6531
694	14831	6508
695	14851	6486
696	14871	6464
697	14890	6442
698	14912	6421
699	14933	6399
700	14953	6378
701	14972	6355
702	14997	6335
703	15018	6314
704	15044	6295
705	15069	6275
706	15089	6253
707	15111	6232
708	15130	6210
709	15150	6188
710	15173	6167
711	15193	6145
712	15213	6123
713	15234	6102
714	15257	6081
715	15279	6060
716	15298	6038
717	15321	6017
718	15342	5996
719	15366	5975
720	15385	5953
721	15404	5931
722	15423	5909
723	15443	5887
724	15463	5865
725	15483	5843
726	15502	5821
727	15525	5800
728	15546	5779
729	15570	5758
730	15591	5737
731	15610	5715
732	15630	5693
733	15649	5671
734	15669	5649
735	15690	5628
736	15712	5607
737	15732	5585
738	15754	5564
739	15773	5542
740	15792	5519
741	15811	5497
742	15831	5476
743	15850	5454
744	15869	5431
745	15890	5410
746	15909	5388
747	15930	5367
748	15949	5345
749	15969	5323
750	15989	5301
751	16008	5279
752	16027	5257
753	16046	5235
754	16070	5214
755	16089	5193
756	16113	5172
757	16135	5151
758	16157	5130
759	16176	5108
760	16199	5087
761	16219	5066
762	16239	5044
763	16258	5022
764	16277	5000
765	16297	4978
766	16321	4958
767	16342	4936
768	16362	4915
769	16389	4895
770	16410	4874
771	16429	4852
772	16450	4830
773	16470	4809
774	16490	4787
775	16510	4765
776	16533	4745
777	16553	4723
778	16572	4701
779	16593	4680
780	16612	4658
781	16632	4636
782	16652	4615
783	16671	4593
784	16690	4571
785	16710	4549
786	16730	4528
787	16753	4507
788	16778	4487
789	16801	4466
790	16823	4445
791	16844	4423
792	16865	4402
793	16884	4380
794	16903	4358
795	16924	4337
796	16943	4315
797	16962	4293
798	16982	4272
799	17001	4250
800	17022	4228
801	17042	4207
802	17061	4185
803	17080	4163
804	17106	4143
805	17128	4122
806	17148	4101
807	17168	4079
808	17188	4058
809	17207	4036
810	17228	4014
811	17246	3993
812	17265	3971
813	17285	3949
814	17306	3928
815	17329	3907
816	17348	3885
817	17372	3865
818	17391	3843
819	17411	3821
820	17431	3800
821	17450	3778
822	17473	3758
823	17493	3736
824	17513	3714
825	17538	3694
826	17560	3673
827	17578	3651
828	17598	3630
